filename,width,height,class,xmin,ymin,xmax,ymax
image-1.jpg,800,600,vehicle,592,320,758,404
image-1.jpg,800,600,vehicle,520,334,546,352
image-1.jpg,800,600,tree,99,9,170,398
image-1.jpg,800,600,tree,250,7,273,363
image-1.jpg,800,600,tree,389,10,406,351
image-1.jpg,800,600,pole,347,168,371,358
image-1.jpg,800,600,pole,701,153,731,332
image-1.jpg,800,600,pole,574,263,590,358
image-2.jpg,800,600,pole,229,16,250,371
image-2.jpg,800,600,pole,702,88,715,356
image-2.jpg,800,600,tree,79,220,95,338
image-2.jpg,800,600,tree,358,26,373,346
image-2.jpg,800,600,tree,384,64,396,346
image-2.jpg,800,600,tree,408,92,415,347
image-2.jpg,800,600,vehicle,687,304,800,432
image-2.jpg,800,600,vehicle,440,329,466,351
image-2.jpg,800,600,pole,533,251,544,352
image-2.jpg,800,600,tree,253,246,263,335
image-2.jpg,800,600,tree,158,264,177,341
image-2.jpg,800,600,tree,271,277,287,339
image-3.jpg,800,600,pole,117,6,162,394
image-3.jpg,800,600,pole,571,169,593,349
image-3.jpg,800,600,pole,472,259,490,340
image-3.jpg,800,600,vehicle,397,328,427,351
image-3.jpg,800,600,vehicle,194,341,235,364
image-3.jpg,800,600,tree,228,7,282,378
image-3.jpg,800,600,tree,269,6,314,368
image-3.jpg,800,600,tree,326,25,364,362
image-4.jpg,800,600,vehicle,484,312,558,364
image-4.jpg,800,600,vehicle,457,323,485,355
image-4.jpg,800,600,vehicle,392,328,416,351
image-4.jpg,800,600,vehicle,428,330,442,344
image-4.jpg,800,600,pole,616,115,638,367
image-4.jpg,800,600,tree,221,7,256,373
image-4.jpg,800,600,tree,303,61,323,358
image-4.jpg,800,600,tree,345,84,359,355
image-4.jpg,800,600,pole,282,174,298,366
image-4.jpg,800,600,pole,473,252,486,330
image-4.jpg,800,600,person,690,319,708,351
image-4.jpg,800,600,person,740,323,750,354
image-4.jpg,800,600,person,724,317,738,352
image-5.jpg,800,600,pole,612,142,635,370
image-5.jpg,800,600,pole,355,208,375,359
image-5.jpg,800,600,pole,447,260,459,349
image-5.jpg,800,600,pole,573,251,588,349
image-5.jpg,800,600,person,681,329,690,351
image-5.jpg,800,600,person,716,327,725,359
image-5.jpg,800,600,person,707,327,717,351
image-5.jpg,800,600,vehicle,531,332,564,353
image-5.jpg,800,600,tree,505,244,514,341
image-6.jpg,800,600,vehicle,498,319,586,379
image-6.jpg,800,600,vehicle,41,324,114,358
image-6.jpg,800,600,vehicle,205,328,248,353
image-6.jpg,800,600,person,631,327,644,355
image-6.jpg,800,600,person,664,326,682,356
image-6.jpg,800,600,pole,202,103,229,370
image-6.jpg,800,600,tree,264,7,288,367
image-6.jpg,800,600,tree,351,6,367,351
image-6.jpg,800,600,tree,335,140,347,347
image-6.jpg,800,600,tree,377,165,390,346
image-7.jpg,800,600,tree,172,7,207,365
image-7.jpg,800,600,tree,323,9,348,359
image-7.jpg,800,600,tree,309,68,323,349
image-7.jpg,800,600,tree,369,96,385,349
image-7.jpg,800,600,tree,346,196,356,344
image-7.jpg,800,600,person,640,328,649,353
image-7.jpg,800,600,person,679,328,697,354
image-7.jpg,800,600,person,708,328,726,354
image-7.jpg,800,600,vehicle,401,332,417,346
image-8.jpg,800,600,tree,148,9,214,399
image-8.jpg,800,600,tree,257,15,283,356
image-8.jpg,800,600,tree,367,82,383,350
image-8.jpg,800,600,vehicle,467,326,517,361
image-8.jpg,800,600,vehicle,440,330,454,342
