filename,width,height,class,xmin,ymin,xmax,ymax
image-1.jpg,800,600,vehicle,592,320,758,404
image-1.jpg,800,600,vehicle,520,334,546,352
image-1.jpg,800,600,tree,99,9,170,398
image-1.jpg,800,600,tree,250,7,273,363
image-1.jpg,800,600,tree,389,10,406,351
image-1.jpg,800,600,pole,347,168,371,358
image-1.jpg,800,600,pole,701,153,731,332
image-1.jpg,800,600,pole,574,263,590,358
image-10.jpg,800,600,vehicle,574,318,708,389
image-10.jpg,800,600,vehicle,234,325,271,346
image-10.jpg,800,600,vehicle,444,333,469,349
image-10.jpg,800,600,vehicle,501,328,536,346
image-10.jpg,800,600,vehicle,409,322,431,334
image-100.jpg,800,600,vehicle,418,320,435,342
image-100.jpg,800,600,vehicle,470,329,484,342
image-100.jpg,800,600,vehicle,383,327,398,343
image-101.jpg,800,600,vehicle,412,329,434,341
image-102.jpg,800,600,vehicle,293,330,351,365
image-102.jpg,800,600,pole,208,162,235,365
image-102.jpg,800,600,pole,132,248,143,341
image-102.jpg,800,600,vehicle,56,308,83,325
image-102.jpg,800,600,tree,448,163,463,338
image-102.jpg,800,600,tree,380,182,395,335
image-102.jpg,800,600,tree,606,146,619,346
image-102.jpg,800,600,tree,270,212,281,324
image-103.jpg,800,600,pole,280,76,306,348
image-103.jpg,800,600,pole,361,233,370,334
image-103.jpg,800,600,pole,401,271,412,335
image-103.jpg,800,600,vehicle,436,309,472,334
image-103.jpg,800,600,tree,136,93,151,203
image-104.jpg,800,600,pole,324,22,371,359
image-104.jpg,800,600,pole,197,277,211,351
image-104.jpg,800,600,pole,485,296,501,349
image-104.jpg,800,600,pole,408,282,424,350
image-105.jpg,800,600,pole,222,26,282,300
image-105.jpg,800,600,pole,556,105,586,255
image-105.jpg,800,600,pole,237,180,255,272
image-105.jpg,800,600,pole,397,191,408,267
image-105.jpg,800,600,vehicle,30,285,149,335
image-105.jpg,800,600,vehicle,495,241,603,312
image-105.jpg,800,600,vehicle,424,245,493,293
image-105.jpg,800,600,vehicle,312,251,352,283
